repoId,repo,sourceType,domain,method,coverageCategory,normalizedPath,path,handler,request,response,evidenceFile,evidenceLine
backend,reabam-mop-b2b,backend-controller,other,POST,backend-and-frontend,/activity/liveChannels/query/live/activity,/activity/liveChannels/query/live/activity,LiveChannelsController.queryActivityByIdReq,ActivityByIdReq req,Response<PresaleActivitiesVO>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsController.java,232
backend,reabam-mop-b2b,backend-controller,other,GET,backend-and-frontend,/activity/liveChannels/rtmpPublishAddr,/activity/liveChannels/rtmpPublishAddr,LiveChannelsController.rtmpPublishAddr,Long muDuChannelId,Response<List<String>>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsController.java,364
backend,reabam-mop-b2b,backend-controller,other,POST,backend-and-frontend,/activity/liveChannels/status/switch,/activity/liveChannels/status/switch,LiveChannelsController.statusSwitch,LiveStatusSwitchReq req,Response<Void>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsController.java,148
backend,reabam-mop-b2b,backend-controller,report-export,POST,backend-only,/activity/liveChannels/store/export,/activity/liveChannels/store/export,LiveChannelsController.queryStoreExport,LiveIdReq req,Response<RespPage<StoreExcelRes>>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsController.java,121
backend,reabam-mop-b2b,backend-controller,other,POST,backend-and-frontend,/activity/liveChannels/store/page,/activity/liveChannels/store/page,LiveChannelsController.queryStorePage,LiveIdAndStoreIdAndNameReq req,Response<RespPage<SysCompanyVO>>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsController.java,112
backend,reabam-mop-b2b,backend-controller,other,GET,backend-only,/activity/liveChannelsRel/detailById,/activity/liveChannelsRel/detailById,LiveChannelsRelController.detailById,Long id,Response<LiveChannelsRelVO>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsRelController.java,37
backend,reabam-mop-b2b,backend-controller,other,POST,backend-and-frontend,/activity/liveChannelsRel/live/activity/page,/activity/liveChannelsRel/live/activity/page,LiveChannelsRelController.liveActivityPage,LiveActivityPageReq pageReq,Response<RespPage<LiveActivityPageResp>>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsRelController.java,45
backend,reabam-mop-b2b,backend-controller,product-skc-sku,GET,backend-only,/activity/liveChannelsSkcs/detailById,/activity/liveChannelsSkcs/detailById,LiveChannelsSkcsController.detailById,Long id,Response<LiveChannelsSkcsVO>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsSkcsController.java,41
backend,reabam-mop-b2b,backend-controller,product-skc-sku,POST,backend-and-frontend,/activity/liveChannelsSkcs/explain/get,/activity/liveChannelsSkcs/explain/get,LiveChannelsSkcsController.skcExplainGet,LiveSkcExplainingReq req,Response<String>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsSkcsController.java,76
backend,reabam-mop-b2b,backend-controller,product-skc-sku,POST,backend-and-frontend,/activity/liveChannelsSkcs/explain/product/get,/activity/liveChannelsSkcs/explain/product/get,LiveChannelsSkcsController.productExplainGet,LiveSkcExplainingReq req,Response<LiveExplainProductResp>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsSkcsController.java,127
