normalizedPath,domains,repos,methods,occurrences,coverageCategory,evidence
/product/inventory/getImportTemplateUrl,stock,backend|admin-v1|admin-v2,POST|POST(default),3,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/InventoryController.java:239 | semir-bmall-admin-v2/app/src/services/common.ts:9 | semir-reabam-admin/src/js/api.js:2306
/product/inventory/itemType/exceladd,stock,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/InventoryController.java:320
/product/inventory/list,stock,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/InventoryController.java:45
/product/inventory/mitemcomp/exceladd,stock,backend|admin-v1,POST|POST(default),2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/InventoryController.java:435 | semir-reabam-admin/src/js/api.js:2325
/product/inventory/mitemType/exceladd,stock,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/InventoryController.java:301
/product/inventory/orderGoodsTemplateSetting,stock,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/InventoryController.java:83
/product/inventory/orderGoodsTemplateSettingInfo,stock,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/InventoryController.java:92
/product/inventory/orderGoodsTemplateSettingList,stock,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/InventoryController.java:75
/product/inventory/originPlace/exceladd,stock,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/InventoryController.java:359
/product/inventory/series/exceladd,stock,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/InventoryController.java:378
